YEAR_ID,MONTH_ID,SEQ,CUTOFF_DATE,BORROWER_COUNT,BORROWER_CODE_NAME,JOINT,LENDING UNIT,LG,Major Industry,Account/Loan Type,Customer Size,Development Lending Program,Location,Region,Account Class,Interest Rate,Interest Type,Type of Facility,Collateral Type,Collateral Type Description,Source,Loan Term,No. of Days-Loan Term,Past Due Date,Loan Status,Area Code,   NPL   ,   Sum of Sum of Approved Amount   ,   Sum of Sum of Collateral Amount   ,   Sum of Sum of Release Amount   ,   Sum of Sum of Booked Reserves   ,   Sum of Sum of Loan Portfolio   ,MONTH_YEAR,GDP,INFL,UNEMP,USD,Month Name,IS_NPL,Interest Rate Range
2024,12,21,12/31/2024,1,BORROWER_1006,BORROWER_1006-2024-12,SME (NCR) DEPARTMENT,SMERMMLG,EDUCATION ,SME Loans - Small,Small," DBP Education Sector Support for Knowledge, Wisdom and Empowerment through Lending Assistance (ESKWELA) Progr",METRO MANILA,National Capital Region,PASS,6.3,Variable,TERM LOAN,Unsecured,(blank),DBP,Long Term,1673,,CUR,PA,0.00,2000000.00,0.00,1311000.00,139128.01,366043.04,24-Dec,5.3,2.9,3.1,58.448,DEC,0,5.00% - 7.99%
2019,12,1,12/31/2019,1,BORROWER_1007,BORROWER_1007-2019-12,TAGBILARAN LENDING CENTER,VLG,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,SME Loans - Small,Small,MSME CENTER SEED,BOHOL,Central Visayas,CURRENT,5,Fixed,REVOLVING CREDIT LINE,Secured,REAL ESTATE,DBP,Long Term,90,,CUR,PA,0.00,18554178.07,143441000.00,17740550.45,101376.20,9756085.65,19-Dec,6.6,2.4,4.59,50.7671,DEC,0,5.00% - 7.99%
2020,12,5,12/31/2020,1,BORROWER_1007,BORROWER_1007-2020-12,TAGBILARAN LENDING CENTER,VLG,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,SME Loans - Small,Small,MSME CENTER SEED,BOHOL,Central Visayas,SPECIALLY MENTIONED,4.5,Fixed,REVOLVING CREDIT LINE,Secured,REAL ESTATE,DBP,Long Term,178,,CUR,PA,0.00,9264733.97,174816000.00,9264733.97,0.00,8992354.23,20-Dec,-8.2,3.3,8.74,48.0637,DEC,0,3.00% - 4.99%
2021,12,9,12/31/2021,1,BORROWER_1007,BORROWER_1007-2021-12,TAGBILARAN LENDING CENTER,VLG,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,SME Loans - Small,Small,MSME CENTER SEED,BOHOL,Central Visayas,SPECIALLY MENTIONED,6,Fixed,REVOLVING CREDIT LINE,Secured,REAL ESTATE,DBP,Long Term,180,,CUR,PA,0.00,9264733.97,174816000.00,9264733.97,0.00,7358075.79,21-Dec,7.9,3.1,6.6,50.2478,DEC,0,5.00% - 7.99%
2022,12,13,12/31/2022,1,BORROWER_1007,BORROWER_1007-2022-12,TAGBILARAN LENDING CENTER,VLG,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,SME Loans - Small,Small,MSME CENTER SEED,BOHOL,Central Visayas,SPECIALLY MENTIONED,6,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Long Term,1400,,CUR,PA,0.00,6264733.97,87408000.00,6264733.97,0.00,2723797.35,22-Dec,7.1,8.1,4.3,55.6839,DEC,0,5.00% - 7.99%
2023,12,17,12/31/2023,1,BORROWER_1007,BORROWER_1007-2023-12,TAGBILARAN LENDING CENTER,VLG,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,SME Loans - Small,Small,MSME CENTER SEED,BOHOL,Central Visayas,PASS,7,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Long Term,1400,,CUR,PA,0.00,6264733.97,87408000.00,6264733.97,0.00,1089518.91,23-Dec,5.54,3.9,3.1,55.5877,DEC,0,5.00% - 7.99%
2025,12,25,12/31/2025,1,BORROWER_1008,BORROWER_1008-2025-12,ILIGAN LENDING CENTER,NMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Medium,Medium,No Program,LANAO DEL NORTE,Northern Mindanao,SPECIALLY MENTIONED,7,Fixed,TERM LOAN,Unsecured,(blank),DBP,Medium Term,1096,4/27/2018,PDO,NPA,7777777.76,10000000.00,0.00,10000000.00,7777777.76,7777777.76,2025-12,3,1.8,4.4,58.8488,DEC,1,5.00% - 7.99%
2019,12,1,12/31/2019,1,BORROWER_1009,BORROWER_1009-2019-12,ILOILO LENDING CENTER,VLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,ISSEP II,ILOILO,Western Visayas,CURRENT,6.5,Fixed,TERM LOAN,Secured,REAL ESTATE,JICA,Long Term,178,,CUR,PA,0.00,13700000.00,37475000.00,6570000.00,182040.65,6570000.00,19-Dec,6.6,2.4,4.59,50.7671,DEC,0,5.00% - 7.99%
2020,12,5,12/31/2020,1,BORROWER_1009,BORROWER_1009-2020-12,ILOILO LENDING CENTER,VLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,ISSEP II,ILOILO,Western Visayas,CURRENT,6.5,Fixed,TERM LOAN,Secured,REAL ESTATE,JICA,Long Term,3379,,CUR,PA,0.00,6400000.00,10095000.00,6075789.47,0.00,6075789.47,20-Dec,-8.2,3.3,8.74,48.0637,DEC,0,5.00% - 7.99%
2021,12,9,12/31/2021,1,BORROWER_1009,BORROWER_1009-2021-12,ILOILO LENDING CENTER,VLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,ISSEP II,ILOILO,Western Visayas,SPECIALLY MENTIONED,6.5,Fixed,TERM LOAN,Secured,REAL ESTATE,JICA,Long Term,3106,,CUR,PA,0.00,6400000.00,10095000.00,5583157.88,0.00,5530000.00,21-Dec,7.9,3.1,6.6,50.2478,DEC,0,5.00% - 7.99%
